hostname,planet_count,min_period,max_period,min_distance,max_distance,discovery_year,system_distance,ra,dec
KOI-351,8,7.008151,331.60059,0.074,1.01,2013,848.254,284.4334642,49.3051239
TRAPPIST-1,7,1.510826,18.772866,0.01154,0.06189,2016,12.42988881,346.6263919,-5.0434618
HD 10180,6,5.75969,2205.0,0.06412,3.381,2010,38.9607,24.4731133,-60.5114881
HD 110067,6,9.113678,54.76992,0.0793,0.2621,2023,32.1585,189.8392243,20.0273377
HD 191939,6,8.8803256,2898.0,0.0804,3.71,2020,53.6089,302.0256247,66.8503014
HD 219134,6,3.092926,2247.0,0.03876,3.11,2015,6.53127,348.3372026,57.1696255
HD 34445,6,49.175,5700.0,0.2687,6.36,2009,46.0907,79.4207483,7.3527156
K2-138,6,2.35309,41.96797,0.03385,0.23109,2017,202.585,348.9490311,-10.8497391
Kepler-11,6,10.3039,118.3807,0.091,0.466,2010,646.346,297.1150949,41.9091092
Kepler-20,6,3.6961049,77.611455,0.04565,0.3474,2011,282.563,287.6979913,42.3385782
TOI-1136,6,4.1727,39.545,0.05106,0.229,2022,84.5362,192.1848981,64.8552755
TOI-178,6,1.914558,20.7095,0.02607,0.1275,2021,62.699,7.3020115,-30.4541159
55 Cnc,5,0.7365474,5574.2,0.01544,5.957,1996,12.5855,133.1468373,28.3298154
GJ 667 C,5,7.203,256.2,0.050431,0.549,2012,7.24396,259.7510609,-34.9977651
HD 108236,5,3.795963,29.54115,0.04527,0.1758,2020,64.5978,186.5740627,-51.3630519
HD 134606,5,4.3203,966.5,0.0527,1.941,2024,26.7909,228.8103897,-70.5203328
HD 23472,5,3.97664,29.79749,0.04298,0.1646,2019,39.0341,55.4590314,-62.7672667
HD 40307,5,4.3123,197.8,0.0468,0.6,2009,12.9363,88.5172191,-60.0237289
Kepler-102,5,5.286965,27.453592,0.05521,0.1656,2013,107.796,281.4824731,47.2078263
Kepler-122,5,5.766193,56.268,0.064,0.28575,2014,1027.45,291.1118647,39.9490248
Kepler-150,5,3.428054,637.2093,0.044,1.24,2014,891.092,288.2341025,40.520897
Kepler-154,5,3.93276465,62.303276,0.04766,0.303,2014,915.212,289.7805393,49.8965624
Kepler-169,5,3.250619,87.090195,0.04,0.359,2014,406.529,285.9999204,40.9193822
Kepler-186,5,3.8867907,129.9441,0.0343,0.432,2014,177.594,298.652736,43.9549884
Kepler-238,5,2.090876,50.447,0.034,0.28635,2013,1798.75,287.8971066,40.6378141
Kepler-292,5,2.580827,20.834237,0.035,0.141,2014,1056.48,295.7661979,42.4242822
Kepler-296,5,5.8416366,63.33627,0.0521,0.255,2014,167.0,286.5400278,49.4372614
Kepler-32,5,0.74296,22.7802,0.013,0.13,2011,323.847,297.8423073,46.5743595
Kepler-33,5,5.66793,41.02902,0.0677,0.2535,2011,1209.16,289.0775348,46.0051696
Kepler-444,5,3.6001053,9.740486,0.04178,0.0811,2015,36.4396,289.7528323,41.631884
Kepler-48,5,4.778,5219.681854,0.05394,5.719187877,2012,306.738,299.1393094,40.948939
Kepler-55,5,2.211099,42.1516418,0.029,0.2095,2012,578.796,285.1683291,44.0264898
Kepler-62,5,5.714932,267.291,0.0553,0.718,2013,300.874,283.2125621,45.3496992
Kepler-80,5,0.9867873,9.52355,0.0175,0.0792,2012,369.451,296.1125759,39.9787451
Kepler-82,5,2.382961,75.732,0.034,0.3395,2012,904.326,292.8733696,42.9661583
Kepler-84,5,4.224537,44.552169,0.052,0.25,2012,1023.9,298.2520208,40.4960842
L 98-59,5,2.253114,23.064,0.0223,0.1052,2019,10.6194,124.5328604,-68.3144658
Barnard's star,4,2.3402,6.7392,0.0188,0.0381,2024,1.82655,269.4486144,4.7379808
DMPP-1,4,2.882,18.57,0.0422,0.1462,2019,62.5388,86.7761233,-10.6303217
GJ 3293,4,13.2543,122.6196,0.08208,0.36175,2015,20.1903,67.1484425,-25.1713396
GJ 676 A,4,3.60076,13921.42302,0.039,9.726,2010,16.0272,262.5448903,-51.6377777
GJ 876,4,1.93778,124.26,0.02080665,0.3343,1998,4.67517,343.3239737,-14.2665958
HD 141399,4,94.44,5000.0,0.415,5.0,2014,37.0169,236.7235392,46.986288
HD 164922,4,12.458,1207.0,0.103,2.16,2005,22.0016,270.6304652,26.3104077
HD 20781,4,5.3135,85.5073,0.0529,0.3374,2019,35.9715,50.0139757,-28.7841175
HD 20794,4,18.314,647.6,0.1257,1.3541,2011,6.00278,49.9997666,-43.0666533
HD 215152,4,5.75999,25.1967,0.057638,0.15417,2018,21.5974,340.8380941,-6.4020685
HD 3167,4,0.959641,96.63,0.01796,0.3885,2016,47.2899,8.7401487,4.3807215
HR 8799,4,20815.6,170000.0,16.4,68.0,2008,41.2441,346.8701486,21.1340376
K2-133,4,3.07133,26.5841,0.03194,0.1346,2017,75.1703,70.1493775,25.0098135
K2-187,4,0.77401,13.606629,0.0164,0.1106,2018,330.916,132.5235618,23.1924709
K2-266,4,0.658524,19.482,0.01306,0.1249,2018,77.5586,157.9356855,0.9372782
K2-285,4,3.471745,14.76289,0.03817,0.18041,2018,154.961,349.3843458,1.3001522
K2-32,4,4.34934,31.71701,0.04899,0.18422,2016,157.682,252.426008,-19.5430504
K2-72,4,5.577212,24.158868,0.04,0.106,2016,66.4321,334.6227504,-9.6120084
KOI-94,4,3.743208,54.32031,0.05119,0.3046,2013,477.052,297.3330716,41.8911186
Kepler-100,4,6.88734,60.888588,0.07309,0.312391586,2014,304.645,291.3861294,41.9901394
Kepler-106,4,6.16486,43.8445,0.06491,0.24006,2014,444.322,300.864006,44.3375497
Kepler-107,4,3.1800218,14.749143,0.04544,0.12638,2014,525.997,297.028162,48.2086019
Kepler-132,4,6.178196,110.2869374,0.067,0.43927,2014,349.549,283.23581,41.343037
Kepler-138,4,10.3134,38.23,0.0753,0.1803,2014,66.8624,290.3814122,43.2930645
Kepler-1388,4,5.53608151,37.6327084,0.0519,0.1861,2016,453.795,283.3360156,47.1744499
Kepler-139,4,7.305699922,2047.635373,0.0755533961,3.23579639,2014,391.038,282.3919451,43.8894167
Kepler-1542,4,2.89223021,5.99273738,0.0387,0.0629,2016,399.114,285.7284757,42.6544651
Kepler-164,4,5.03503,94.886902,0.058,0.4025,2014,890.758,287.7808115,47.6298453
Kepler-167,4,4.3931539,1071.23205,0.04825,1.883,2014,341.908,292.6585253,38.3455558
Kepler-172,4,2.940309,35.118736,0.04,0.211,2014,828.592,283.3684093,41.821839
Kepler-176,4,5.433074,51.16579,0.058,0.25654,2014,527.321,294.6679021,43.8532104
Kepler-197,4,5.599308,25.209715,0.06,0.164,2014,330.575,295.2264739,50.5592348
Kepler-1987,4,2.345863002,8.74292005,0.0318,0.0765,2023,595.683,295.8254663,42.9433716
Kepler-208,4,4.22864,16.259458,0.054,0.132,2014,775.328,293.8901979,42.5279413
Kepler-215,4,9.360672,68.16101,0.084,0.314,2014,485.997,294.9735313,45.2136867
Kepler-220,4,4.159807,45.902733,0.046,0.226,2014,171.109,291.5060432,46.8956262
Kepler-221,4,2.795906,18.369917,0.037,0.13,2014,385.231,296.6547477,46.8352242
Kepler-223,4,7.38449,19.72567,0.07525,0.14481,2014,1859.71,298.3183909,47.2794824
Kepler-224,4,3.132924,18.643577,0.038,0.124,2014,782.088,290.9342679,47.3575414
Kepler-235,4,3.340222,46.183669,0.037,0.213,2014,428.018,286.0790779,39.278237
Kepler-24,4,4.244384,18.998355,0.051,0.138,2011,1156.81,290.4132621,38.3437283
Kepler-245,4,3.219821056,36.277108,0.04053,0.202,2014,861.527,291.6389972,42.4363482
Kepler-251,4,4.790936,99.640161,0.053,0.404,2014,924.625,296.5662171,44.1058077
Kepler-256,4,1.620493,10.681572,0.027,0.096,2014,1026.43,292.58042,46.0973588
Kepler-26,4,3.543919,46.827915,0.039,0.22,2011,335.307,284.9410627,46.5664505
Kepler-265,4,6.846262,67.831024,0.069,0.319,2014,1280.25,290.5104788,41.244743
Kepler-279,4,12.309681,98.3531,0.112,0.439,2013,1037.4,287.391295,42.194822
Kepler-282,4,9.220524,44.347,0.082,0.23332,2013,1337.61,284.6772402,44.7976401
Kepler-286,4,1.796302,29.221289,0.027,0.176,2014,1226.85,290.6761874,48.2942362
Kepler-289,4,34.5383,330.0716,0.21183,0.9342,2014,704.438,297.4653351,42.8828517
Kepler-299,4,2.927128,38.285489,0.04,0.22,2014,1052.24,283.2070156,48.5805222
Kepler-304,4,1.499146953,9.653471,0.02317,0.08,2014,434.684,294.4418031,40.5575408
Kepler-305,4,3.20538,16.74,0.04017,0.12091,2013,868.477,299.2242557,40.343167
Kepler-306,4,4.646186,44.840975,0.05,0.227,2014,775.679,288.5387145,40.6160545
Kepler-324,4,4.385315,51.805612,0.05,0.26,2014,501.574,286.4714473,49.6490933
Kepler-338,4,9.341,44.431014,0.08979,0.257,2014,552.798,282.9790593,40.7844188
Kepler-341,4,5.195528,42.473269,0.06,0.242,2014,1047.03,289.8615609,43.4727412
Kepler-342,4,1.644224613,39.459357,0.02909,0.242,2014,781.611,292.6780488,46.7266813
Kepler-37,4,13.36702,51.196,0.1019,0.25,2013,63.9207,284.0592503,44.5183733
Kepler-402,4,4.028751,11.242861,0.051,0.102,2014,625.339,288.3701976,43.3546109
Kepler-411,4,3.005156,58.02035,0.0375,0.279,2013,153.676,287.6057027,49.5233937
Kepler-49,4,2.576549,18.596108,0.031,0.116,2012,311.222,292.2945208,40.5918123
Kepler-58,4,4.45814897,40.101371,0.0533,0.236,2012,969.252,296.3586251,39.1152033
Kepler-65,4,2.15491,258.8,0.035,0.8539307544,2012,303.728,288.6887221,41.1511076
Kepler-68,4,5.39875259,3455.0,0.06135,4.6,2013,144.166,291.0323102,49.0402129
Kepler-758,4,4.75793986,20.4966197,0.05768,0.1527,2016,1502.32,293.0846115,41.1354049
Kepler-79,4,13.4845,81.0659,0.117,0.386,2012,1020.72,300.5171067,44.3815508
Kepler-85,4,8.3,25.216751,0.07885,0.163,2012,765.025,290.9734395,45.2902761
TOI-1246,4,4.30744,37.92548,0.049,0.212,2022,169.422,251.1158702,70.4299917
TOI-2076,4,3.0223445,35.125686,0.0385,0.199,2021,41.9091,217.3920159,39.7903991
TOI-4010,4,1.348335,762.0,0.0229,1.57,2023,177.504,20.2148196,66.0722009
TOI-561,4,0.4465697,77.144,0.01064,0.33,2020,85.799,148.1851516,6.216103
TOI-700,4,9.977219,37.42396,0.0677,0.1633,2020,31.1265,97.0957165,-65.5786149
V1298 Tau,4,8.24958,53.5,0.0825,0.2409,2019,108.199,61.331654,20.1570318
rho CrB,4,12.949,282.2,0.1061,0.827,1997,17.4671,240.2600639,33.3001861
tau Cet,4,20.0,636.13,0.133,1.334,2017,3.60304,26.0093029,-15.9337987
47 UMa,3,1078.0,14002.0,2.1,11.6,1996,13.7967,164.8647611,40.4304931
61 Vir,3,4.215,123.01,0.050201,0.476,2009,8.50332,199.596455,-18.3157745
EPIC 249893012,3,3.5951,35.747,0.047,0.22,2020,321.296,228.2482353,-16.7246474
GJ 1061,3,3.204,13.031,0.021,0.054,2020,3.67278,54.0032486,-44.5143104
GJ 163,3,8.63182,603.95116,0.0607,1.0304,2013,15.1285,62.3228353,-53.3711768
GJ 180,3,17.133,106.3,0.092,0.309,2014,11.9407,73.460097,-17.776194
GJ 3138,3,1.22003,257.8,0.0197,0.698,2017,28.4712,32.2977385,-16.3392495
GJ 357,3,3.9306,55.661,0.036,0.204,2019,9.44181,144.0074644,-21.6650634
GJ 3998,3,2.65033,41.78,0.03,0.189,2016,18.1459,259.0020507,11.0561751
GJ 433,3,7.3705,5094.105,0.062,4.819,2011,9.06456,173.8619194,-32.5436302
GJ 581,3,3.1481,12.9211,0.02799,0.0718,2005,6.2981,229.8564725,-7.7226935
GJ 9827,3,1.208974,6.20183,0.0189,0.053,2017,29.661,351.7717763,-1.2853435
HD 11506,3,223.92,26500.0,0.771,18.2,2007,51.261,28.2106607,-19.507396
HD 125612,3,4.15466,2822.72698,0.051,3.982,2007,57.6207,215.2227183,-17.4818147
HD 136352,3,11.57797,107.245,0.0964,0.425,2019,14.682,230.4401147,-48.3188174
HD 142,3,108.45299,10159.64279,0.474,9.811,2001,26.1853,1.5836771,-49.0753625
HD 153557,3,7.29903,40654.64809,0.068,21.449,2022,17.9412,254.4706516,47.3678558
HD 181433,3,9.3743,2172.0,0.08,3.0,2008,26.8762,291.2873731,-66.4677838
HD 184010,3,286.6,836.4,0.94,1.92,2022,60.7993,292.8401421,26.6172796
HD 204313,3,34.95875,7325.64666,0.211,7.457,2010,47.7945,322.0510568,-21.7274194
HD 22946,3,4.040295,47.42489,0.05727,0.2958,2022,62.7792,54.819538,-42.7630276
HD 27894,3,18.01939,5019.54244,0.125,5.362,2005,43.8214,65.1975693,-59.4096776
HD 28109,3,22.89104,84.25999,0.1357,0.411,2022,139.611,65.2383065,-68.1026875
HD 31527,3,16.5535,271.6737,0.1254,0.8098,2019,38.4473,73.9096193,-23.2413163
HD 33142,3,89.9,810.2,0.452,1.955,2011,121.375,76.8980559,-13.9863374
HD 37124,3,154.378,1862.0,0.53364,2.807,2002,31.6634,84.2599947,20.7289784
HD 39194,3,5.6368,33.91,0.056,0.185,2021,26.4131,86.129071,-70.1382377
HD 42813,3,3.5379559,13.6308205,0.04518,0.111,2023,68.192,93.0578446,-14.6493167
HD 48948,3,7.34013,151.92,0.0652,0.4894,2024,16.9043,102.489811,60.3373133
HD 63433,3,4.209075,20.543847,0.0503,0.146,2020,22.4035,117.4793699,27.3631342
HD 69830,3,8.667,197.0,0.0785,0.63,2006,12.5591,124.6010091,-12.6364246
HD 73344,3,15.611,5823.0,0.131,6.7,2024,35.26,129.6894456,23.6852651
HD 7924,3,5.39792,24.451,0.06,0.1551,2008,16.9922,20.4956562,76.7101475
HD 93385,3,7.3426,45.85,0.0756,0.2565,2021,43.3475,161.5627065,-41.464604
HD 96700,3,8.1245,103.5,0.0777,0.424,2021,25.4111,166.9742616,-30.1751383
HIP 14810,3,6.673892,981.8,0.0696,1.94,2005,50.48,47.809275,21.0971302
HIP 57274,3,8.1352,431.7,0.07,1.01,2011,25.8618,176.1705487,30.9576484
HR 858,3,3.585287,11.230511,0.04888,0.1046,2019,31.964,42.9849779,-30.8140609
K2-136,3,7.9752,25.575,0.0707,0.1538,2017,59.2474,67.4128615,22.8825674
K2-148,3,4.38395,9.7579,0.0454,0.0774,2018,124.458,14.5176494,-0.193258
K2-155,3,6.342,40.718,0.0562,0.1937,2018,72.7998,65.469614,21.3532633
K2-157,3,0.3652575,66.5,0.00962,0.309,2018,298.373,183.7514959,-5.7820178
K2-19,3,2.5081,11.8993,0.0344,0.0971,2015,289.827,174.9602543,0.603596
K2-233,3,2.4675,24.3645,0.03308,0.15224,2018,67.5062,230.4799011,-20.2317975
K2-239,3,5.24,10.115,0.0441,0.0685,2018,31.0849,160.5941265,4.4413751
K2-3,3,10.0546535,44.55603,0.0747,0.2014,2015,44.0727,172.3353708,-1.4551364
K2-37,3,4.44117,14.09189,0.0511,0.1103,2016,179.943,243.4509662,-24.7870527
K2-58,3,2.53726,22.8827,0.035,0.1517,2016,181.746,333.8218395,-14.049857
KOI-142,3,10.91647,1403.0,0.09586,2.466329866,2013,376.863,291.1481028,40.669413
Kepler-10,3,0.8374907,151.06,0.01685,0.5379,2011,185.506,285.679298,50.2414842
Kepler-104,3,11.427548,51.755394,0.094,0.257,2014,400.785,287.6046621,42.1665104
Kepler-1073,3,2.504760027,8.67888593,0.0352,0.0805,2016,809.897,294.1527259,38.2330886
Kepler-1130,3,3.266639948,5.45298175,0.04238,0.05963,2016,249.343,285.207421,45.384333
Kepler-114,3,5.188549,11.776,0.053,0.08358,2013,259.533,294.121482,48.3497977
Kepler-124,3,3.410493,30.950851,0.039,0.17,2014,420.046,286.7527322,49.0648788
Kepler-1254,3,3.60084276,9.99113313,0.0422,0.0833,2016,622.818,285.1733174,48.7700099
Kepler-126,3,10.495711,100.283134,0.099,0.448,2014,237.401,289.3473634,44.2084445
Kepler-127,3,14.435889,48.630408,0.125,0.28,2014,352.794,285.1899439,46.0280596
Kepler-129,3,15.79,2646.0,0.13,4.0,2014,408.845,285.3111845,47.8484775
Kepler-130,3,8.457458,87.517905,0.079,0.377,2014,316.663,288.4505905,40.2452006
Kepler-1311,3,2.53573424,197.5110016,0.03753,0.68434,2016,866.331,289.6512597,43.8244445
Kepler-1321,3,2.226491086,11.12830484,0.0267,0.0781,2016,769.146,294.528597,46.6408737
Kepler-142,3,2.024152,41.809118,0.032,0.242,2014,548.686,295.1190067,48.4813635
Kepler-1468,3,3.54553021,19.59059906,0.0466,0.1456,2016,1899.24,293.5198289,41.2773671
Kepler-148,3,1.729366,51.84688575,0.028,0.2607,2014,791.163,289.7861626,46.8588176
Kepler-149,3,29.198943,160.018032,0.184,0.571,2014,571.034,285.8537014,38.3840916
Kepler-1530,3,2.5904434,9.20761013,0.03553,0.08276,2016,489.876,288.1624396,48.165153
Kepler-157,3,1.732342,13.5405,0.028,0.11,2014,773.713,291.0972257,38.8756049
Kepler-166,3,1.554003928,34.260281,0.02449,0.195,2014,603.53,293.1600977,48.8812074
Kepler-1669,3,1.609320045,9.51216,0.0228,0.0745,2020,543.444,297.4303826,39.8478795
Kepler-171,3,4.166972,39.595519,0.05,0.223,2014,863.855,296.7719082,41.7555958
Kepler-174,3,13.98179,247.35373,0.1,0.677,2014,384.757,287.4389454,43.8320052
Kepler-178,3,9.576694,96.678988,0.085,0.397,2014,716.025,287.1010275,46.8964033
Kepler-18,3,3.504725,14.85888,0.0447,0.1172,2011,433.047,298.0794448,44.746248
Kepler-184,3,10.687576,29.022358,0.092,0.179,2014,610.326,291.9518784,43.0746172
Kepler-191,3,5.945041017,17.738506,0.06104,0.128,2014,594.464,291.1833211,45.3230937
Kepler-192,3,6.47027579,21.2234,0.0686,0.15,2014,651.674,287.9179379,45.5928829
Kepler-194,3,2.092281,52.814973,0.032,0.275,2014,1097.97,291.971429,47.8640498
Kepler-196,3,20.739886,122.0800018,0.138,0.4545,2014,451.312,284.9685077,42.0791214
Kepler-198,3,1.31184443,49.567416,0.02342,0.259,2014,495.358,290.6731326,38.6910045
Kepler-203,3,3.162697,11.32972,0.043,0.1,2014,703.302,297.089959,41.3880686
Kepler-206,3,7.781987,23.44281,0.078,0.163,2014,594.447,291.6346564,41.8338415
Kepler-207,3,1.611865,5.868075,0.029,0.068,2014,875.519,290.0305195,42.1660555
Kepler-217,3,3.88689525,8.586004,0.0534,0.089,2014,1104.64,293.0377331,46.2775223
Kepler-218,3,3.619337,124.5244647,0.046,0.49884,2014,656.38,295.4128785,46.2665801
Kepler-219,3,4.585512,47.903645,0.057,0.272,2014,787.07,288.7389481,46.7625929
Kepler-222,3,3.936981,28.081912,0.048,0.18,2014,758.854,287.9060885,46.9377479
Kepler-226,3,3.940997,8.109044,0.047,0.076,2014,980.138,292.3760942,47.8809596
Kepler-228,3,2.566546,11.094286,0.038,0.101,2014,1644.61,296.2860853,48.2246328
Kepler-229,3,6.252972,41.194912,0.062,0.22,2014,826.265,286.9994758,48.3757867
Kepler-23,3,7.1,15.27,0.07212,0.12012,2011,835.756,294.2189131,49.4792536
Kepler-244,3,4.311792,20.050401,0.05,0.14,2014,1036.49,287.242641,42.3014185
Kepler-247,3,3.33616,20.477912,0.042,0.14,2014,663.711,288.6425609,43.0393769
Kepler-249,3,3.306539,15.368459,0.035,0.097,2014,190.401,296.9853002,43.6586043
Kepler-25,3,6.238297,122.4,0.0695,0.4164221832,2011,243.249,286.6383905,39.4879038
Kepler-250,3,4.148141,17.648312,0.048,0.127,2014,760.585,289.5947633,44.1418114
Kepler-253,3,3.783986,18.119869,0.046,0.13,2014,838.595,291.8419337,44.858124
Kepler-254,3,5.826662,18.746477,0.064,0.139,2014,1389.48,288.1646541,45.8164257
Kepler-255,3,1.045622658,9.946047,0.0192,0.092,2014,1052.53,296.0642702,45.9767647
Kepler-257,3,2.382667,24.664551,0.034,0.16,2014,780.256,297.3159994,46.0232642
Kepler-267,3,3.353728,28.464515,0.037,0.154,2014,264.993,299.8305655,47.1575741
Kepler-27,3,6.546289921,31.3309,0.06578,0.191,2011,1044.36,292.2367608,41.085871
Kepler-271,3,5.24972541,10.43547805,0.05554,0.08784,2014,404.542,283.0029316,44.284108
Kepler-272,3,2.971353,10.937304,0.038,0.091,2014,889.608,299.1275257,47.5938319
Kepler-275,3,10.300682,35.676062,0.098,0.224,2014,2034.25,292.4797004,38.5149018
Kepler-276,3,14.12841,48.648,0.119,0.24666,2013,1144.86,293.568197,39.0363123
Kepler-281,3,14.646008,148.2720032,0.117,0.5456,2014,1745.45,294.1081465,44.7706524
Kepler-288,3,6.097326,56.633742,0.065,0.287,2014,1194.15,288.9163997,39.5947523
Kepler-290,3,0.764017553,36.77031,0.0154,0.205,2014,694.627,286.4100307,42.6815137
Kepler-295,3,12.645164,33.884054,0.099,0.192,2014,1699.19,285.3458383,45.3677754
Kepler-297,3,38.871826,150.0189511,0.217,0.523,2014,692.14,283.2091605,48.7776156
Kepler-298,3,10.475464,77.473633,0.08,0.305,2014,518.204,283.0398448,48.8253303
Kepler-30,3,29.33434,143.34394,0.18,0.5,2012,914.221,285.2836483,38.9472625
Kepler-301,3,2.508553,13.751243,0.036,0.112,2014,719.166,283.982904,49.2329512
Kepler-31,3,20.8613,87.6451,0.16,0.4,2011,1664.64,294.0230229,45.8530535
Kepler-310,3,13.930698,92.876125,0.111,0.392,2014,602.268,288.839278,46.9867472
Kepler-311,3,9.176092,232.040326,0.087,0.7326,2014,778.654,282.0612731,47.0854984
Kepler-319,3,4.362705,31.781925,0.051,0.191,2014,503.436,288.8119782,39.7706431
Kepler-325,3,4.544439,38.715185,0.053,0.22,2014,823.242,289.8354219,49.825607
Kepler-326,3,2.248329,6.766888,0.032,0.066,2014,487.675,294.3255898,46.0022646
Kepler-327,3,2.549575,13.969457,0.029,0.09,2014,241.987,292.6422963,44.0876251
Kepler-331,3,8.457496,32.134328,0.065,0.159,2014,580.119,291.8343455,39.3073462
Kepler-332,3,7.626324,34.21154,0.07,0.189,2014,344.19,286.6627811,47.4136938
Kepler-334,3,5.470319,25.09849,0.061,0.168,2014,426.59,287.1406177,47.1151153
Kepler-336,3,2.024823,20.678772,0.033,0.154,2014,768.86,290.2376224,41.3313637
Kepler-339,3,4.977656,10.558345,0.055,0.091,2014,616.637,293.351701,48.4445922
Kepler-347,3,12.79836,85.517344,0.11,0.3802,2014,1298.88,289.1995995,49.3056404
Kepler-350,3,11.189562,26.136,0.104,0.1786,2013,956.859,285.4195845,39.7061009
Kepler-351,3,37.054919,142.544247,0.214,0.5177,2014,1083.91,286.4527949,42.6577891
Kepler-352,3,6.887279987,16.332995,0.06574,0.118,2014,252.733,299.8966237,46.0519022
Kepler-354,3,5.47666,24.209842,0.054,0.146,2014,554.064,285.7515347,41.3356739
Kepler-357,3,6.475434,49.499875,0.063,0.246,2014,688.573,291.2429746,44.0086337
Kepler-359,3,25.563222,77.095691,0.178,0.372,2014,1443.21,293.2936129,42.1963497
Kepler-363,3,3.614568,11.932125,0.048,0.107,2014,762.596,283.1920779,41.3054172
Kepler-372,3,6.849692,30.092568,0.075,0.201,2014,1493.95,291.2562253,49.2589288
Kepler-374,3,1.897806,5.028219,0.029,0.056,2014,1265.61,294.1378921,42.3704075
Kepler-381,3,5.629021,13.391635,0.066,0.117,2014,267.323,285.1828685,43.8310283
Kepler-385,3,10.043686,56.4159,0.097,0.2872,2014,1432.61,294.3385109,50.3365178
Kepler-394,3,5.613580227,12.130686,0.05904,0.11,2014,1058.72,296.3019792,50.6723115
Kepler-398,3,4.081423,11.419412,0.044,0.087,2014,177.355,291.4688524,40.3437001
Kepler-399,3,14.425281,58.034616,0.103,0.261,2014,740.537,299.5017242,40.6707669
Kepler-401,3,14.383035,184.256405,0.122,0.66886,2014,965.56,290.0827494,50.8634361
Kepler-403,3,7.031462,54.280749,0.076,0.297,2014,840.269,289.9214256,46.7445267
Kepler-416,3,3.07644709,12.209,0.0407,0.10454,2014,690.819,291.5569554,39.2272923
Kepler-42,3,0.45328509,1.865169,0.006,0.0154,2011,40.0595,292.2196,44.6173667
Kepler-431,3,6.803,11.922,0.0719,0.1045,2015,486.546,281.1123072,43.2277663
Kepler-445,3,2.984151,8.15275,0.0217,0.0439,2015,127.201,298.7363395,46.4991236
Kepler-446,3,1.565409,5.148921,0.0182,0.0403,2015,96.339,282.2501047,44.921002
Kepler-450,3,7.51464,28.454851,0.0827,0.20092,2015,455.982,295.4865821,51.0135237
Kepler-454,3,10.5737534,4073.0,0.09528,5.1,2015,230.869,287.4786474,38.2290751
Kepler-46,3,6.766589,57.011,0.067,0.2799,2012,777.06,289.2687388,42.6041819
Kepler-47,3,49.4643,303.227,0.2877,0.9638,2012,1025.02,295.2978883,46.9204303
Kepler-487,3,2.418390036,38.6519976,0.03445,0.21864,2016,872.343,295.2872318,41.2220033
Kepler-51,3,45.154,130.194,0.2514,0.509,2012,783.831,296.4797624,49.9376486
Kepler-52,3,7.8773565,36.445171,0.0637,0.182,2012,321.542,286.7380152,49.9757383
Kepler-529,3,1.980357663,35.86619949,0.0309,0.2134,2016,799.008,285.8884067,47.880364
Kepler-53,3,9.751962,38.5583038,0.091,0.22091,2012,1366.07,290.4617926,40.5624966
Kepler-54,3,8.0109434,20.995694,0.0619,0.126,2012,271.701,294.7739245,43.0561976
Kepler-549,3,24.61480613,117.040498,0.1575,0.45332,2016,635.145,283.0228527,47.2611431
Kepler-56,3,10.5016,1002.0,0.1028,2.16,2012,912.994,293.7583002,41.871807
Kepler-60,3,7.1334,11.8981,0.07255,0.10203,2012,1025.1,288.9612535,42.2650472
Kepler-603,3,6.2171292,127.9075774,0.07117,0.53439,2016,1539.63,294.2809679,42.2909295
Kepler-616,3,9.99761851,90.4113556,0.0927,0.4024,2016,945.775,294.989137,46.8383058
Kepler-619,3,1.208465026,11.67894236,0.02216,0.1021,2016,900.678,290.8490899,48.4159782
Kepler-763,3,1.19655156,6.50327035,0.0205,0.0634,2016,962.459,292.1445534,47.1573604
Kepler-770,3,1.475322314,18.92540274,0.0309,0.1694,2016,930.457,286.4904589,38.374872
Kepler-81,3,5.955,20.837846,0.0522,0.128,2012,348.291,293.6369437,42.8248275
Kepler-83,3,5.169796,20.09,0.051,0.11796,2012,400.409,282.2325197,43.6655662
Kepler-9,3,1.592851,38.9853,0.0273,0.227,2010,628.257,285.5739904,38.4008192
Kepler-92,3,13.749,49.3568,0.12232,0.28682,2013,477.992,289.0860607,41.5630224
Kepler-968,3,3.692983728,7.685,0.0389,0.0634,2016,290.324,285.6025889,50.1120401
LHS 1678,3,0.8602325,4.9652229,0.01239,0.04,2021,19.8782,68.1789866,-39.7908744
LP 791-18,3,0.9479981,4.9899093,0.00978,0.02961,2019,26.4927,165.6904843,-16.4064445
PSR B1257+12,3,25.262,98.2114,0.19,0.46,1992,600.0,195.0149029,12.6823534
TOI-1117,3,2.22816,8.665,0.033,0.0817,2025,167.598,273.6020606,-66.4199742
TOI-125,3,4.65382,19.98,0.05186,0.137,2019,111.059,23.5934253,-66.6763495
TOI-1260,3,3.127463,16.608164,0.0367,0.1116,2021,73.5977,157.1440712,65.8541986
TOI-1266,3,10.8945,32.509,0.073,0.1513,2020,36.0118,197.9965833,65.8336973
TOI-1749,3,2.38839,9.0497,0.0291,0.0707,2021,99.5561,282.7372281,64.419466
TOI-270,3,3.3601538,11.379573,0.03197,0.0721,2019,22.4793,68.4160804,-51.9573937
TOI-431,3,0.490047,12.46103,0.0113,0.098,2021,32.5686,83.2692502,-26.7238698
TOI-4504,3,2.42614,82.97213,0.03392,0.3569,2024,342.605,114.4673065,-62.0782776
TOI-451,3,1.858703,16.364988,0.0283,0.1208,2020,123.739,62.966385,-37.93973
